,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,1.149411798713934,-0.23002998412561923,0.3253774975995276,0.3995464023925607,0.5044516229648855,3063.973935068264
1,0.38,Good,F,VS2,-0.9774514727883543,1.5526645105899415,-0.9422667517813208,-0.9244988004232485,-1.0214676072898277,723.3698677959228
2,0.52,Ideal,H,VS2,0.05167591664823631,-0.6757036078045094,-0.48698607066566335,-0.5191788403775924,-0.4888354231443144,1304.5403189098993
3,1.1,Ideal,G,VS1,-0.29136654649729393,-0.6757036078045094,0.8163664674301386,0.858909023777638,0.7923609116921896,7092.457493700619
4,2.28,Ideal,G,SI2,-0.08554106860997285,-0.23002998412561923,2.4143123874243058,2.3721035412814193,2.3614665352559983,16937.30707153777
5,2.01,Very Good,J,VS2,-0.6344090096428241,0.21564363955327095,2.092937788989725,2.182954226593447,2.0159753887832337,13972.693600266788
6,1.06,Ideal,G,SI2,0.3261098871646644,-0.23002998412561923,0.6913874569278009,0.678766819312902,0.7203835895103637,4915.306629646363
7,0.7,Premium,E,SI1,-1.1146684580465636,0.21564363955327095,0.06649240441611487,0.08429754457927305,-0.05697149005335811,2832.137625490128
8,0.73,Premium,I,VS2,-1.3891024285629867,0.6613172632321611,0.18254434273971437,0.06628332413279904,-0.042576025616993196,2249.4485939558695
9,0.73,Ideal,H,IF,-0.08554106860997285,-1.1213772314833996,0.05756533223737669,0.07529043435603645,0.058192225437563735,3978.932892044343
10,1.0,Good,D,VS2,1.6296712471176733,0.21564363955327095,0.4503565081018653,0.534653055741113,0.7059881250739988,6126.0235406679
11,0.33,Ideal,G,VVS2,-1.1146684580465636,-0.23002998412561923,-1.1208081953560876,-1.1046410048879847,-1.2086086449625753,1249.7791275804252
12,0.54,Ideal,J,VVS2,-0.08554106860997285,-0.23002998412561923,-0.4334236375932335,-0.45612906881493454,-0.44564902983521903,847.5406168548666
